platform,game,region,code,box,manual,comment
NES/FC,Wagyan Land,NTSC (JP),??,Yes,Yes,Namco clamshell case
NES/FC,Wai Wai World 2: SOS!! Parsley Jō,NTSC (JP),RC850,No,No,
NES/FC,Wario's Woods,NTSC (JP),HVC-UW,Yes,Yes,Some sticker residue on the front of the box.
NES/FC,Warpman,NTSC (JP),NWM-4500 (08),Yes,No,
NES/FC,Werewolf: The Last Warrior,NTSC (NA),NES-W8-USA (Rev-A),No,No,
NES/FC,Willow,NTSC (NA),NES-WI-USA,No,No,
NES/FC,Wrath of the Black Manta,PAL B,NES-WK-EEC (SCN),No,No,
NES/FC,Xevious,NTSC (JP),NXV-4900 (03),Yes,Yes,
NES/FC,Xexyz,NTSC (NA),NES-KO-USA,No,No,
NES/FC,Yie Ar Kung-Fu,NTSC (JP),RC802,Yes,Yes,
NES/FC,Yokai Dochuki,NTSC (JP),??,Yes,Yes,
NES/FC,Yume Penguin Monogatari,NTSC (JP),KDS-U8,No,No,
NES/FC,Zanac A.I.,NTSC (NA),NES-ZA-USA,No,No,
NES/FC,Zelda II: The Adventure of Link,PAL B,NES-AL-NOE (DAS),No,No,
NES/FC,rAf World,NTSC (JP),TEC-RF,Yes,Yes,Japanese version of Journey to Silius
Nintendo 3DS,"Legend of Zelda, the: A Link Between Worlds",PAL,LNA-CTR-BZLP-EUR,Yes,Yes,Box: TSA-CTR-BZLP-UKV
Nintendo 3DS,"Legend of Zelda, the: Majora's Mask 3D",PAL,LNA-CTR-AJRP-EUR,Yes,Yes,Box: TSA-CTR_AJRP-UK4
Nintendo 3DS,"Legend of Zelda, the: Ocarina of Time 3D",PAL,LNA-CTR-AQEP-EUR,Yes,Yes,Box has Product code: TSA-CTR-AQEP-SWD. Manual has Product code: MAA-CTR-AQEP-SWD.
Nintendo 3DS,Crush 3D,PAL,LNA-CTR-ACRP-EUR,Yes,Yes,Box: TSA-CTR-ACRP-UKV
Nintendo 3DS,Fire Emblem: Awakening,PAL,LNA-CTR-AFEP-EUR,Yes,Yes,Box: TSA-CTR-AFEP-UKV. Manual: MAA-CTR-AFEP-UKV.
Nintendo 3DS,Ghost Recon: Shadow Wars,PAL,LNA-CTR-AGRP-EUR,Yes,Yes,Box: TSA-CTR-AGRP-UKV. Manual: MAA-CTR-AGRP-UKV
Nintendo 3DS,Kid Icarus: Uprising,PAL,LNA-CTR-AKDP-EUR,Yes,Yes,"Box: TBA-CTR-AKDP-SWF, Manual: MAA-CTR-AKDP-SWF, Big box: CTR R AKDP (Scandinavian)"
Nintendo 3DS,Luigi's Mansion 2,PAL,LNA-CTR-AGGP-EUR,Yes,Yes,Box: TSA-CTR-AGGP-UKV. Manual: MAA-CTR-AGGP-UKV
Nintendo 3DS,Mario Kart 7,PAL,LNA-CTR-AMKP-EUR,Yes,Yes,Box has Product code: TSA-CTR-AMKP-SWD. Manual has Product code: MAA-CTR-AMKP-SWD
Nintendo 3DS,Pullblox,--,--,--,--,Downloadable game.
Nintendo 3DS,Puzzle Bobble Universe,PAL,LNA-CTR-ABBP-EUR,Yes,Yes,Box: TSA-CTR-ABBP-UKV. Manual: MAA-CTR-ABBP-UKV
Nintendo 3DS,Resident Evil: Revelations,PAL,LNA-CTR-ABRP-EUR,Yes,Yes,"Circle Pad Pro bundle. Box: TSA-CTR-ABRP-EUR, Manual: MAA-CTR-ABRP-UKV. CCP Box: CTR-R-ABRP (EUR)"
Nintendo 3DS,Starfox 64 3D,PAL,LNA-CTR-ANRP-EUR,Yes,Yes,Box has Product code: TSA-CTR-ANRP-UKV. Manual has Product code: MAA-CTR-ANRP-UKV.
Nintendo 3DS,Steel Diver,PAL,LNA-CTR-ASDP-EUR,Yes,Yes,Factory sealed: Box: TSA-CTR-ASDP-SWF
Nintendo 3DS,Super Mario 3D Land,PAL,LNA-CTR-AREP-EUR,Yes,Yes,Box has Product code: TSA-CTR-AREP-SWD. Manual has Product code: MAA-CTR-AREP-SWD.
Nintendo 3DS,Super Street Fighter IV: 3D Edition,PAL,LNA-CTR-ASSP-EUR,Yes,Yes,Box: TSA-CTR-ASSP-SWF
Nintendo 3DS,Tetris 3DS,PAL,LNA-CTR-ATLP-EUR,Yes,Yes,Box has Product code: TSA-CTR-ATLP-UKV. Manual has Product code MAA-CTR-ATLP-UKV
Nintendo 3DS,Zen Pinball 3DS,--,--,--,--,Downloadable game.
Nintendo 64,"Legend of Zelda, the: Majora's Mask",PAL,NUS-NZSP-EUR,Yes,Yes,Box has Product code: NUS-P-NZSP-NEU6. Manual has Product code: NUS-P-NZSP-NDIS
Nintendo 64,"Legend of Zelda, the: Ocarina of Time",PAL,NUS-NZLP-AUS,Yes,Yes,"Australian Collector's Edition with golden box, manual and cartridge."
Nintendo 64,"New Tetris, the",PAL,NUS-NRIP-EUR,No,No,
Nintendo 64,1080° Snowboarding,PAL,NUS-NTEP-EUR,No,No,
Nintendo 64,Banjo-Kazooie,PAL,NUS-NBKP-EUR,Yes,Yes,Box and manual has Product code: NUS-P-NBKP-NUKV
Nintendo 64,Banjo-Tooie,PAL,NUS-NB7P-EUR,No,No,
Nintendo 64,Beetle Adventure Racing!,PAL,NUS-NNSP-NOE,Yes,Yes,
Nintendo 64,Doom 64,PAL,NUS-NDMP-UKV,Yes,Yes,
Nintendo 64,Excitebike 64,PAL,NUS-NMXP-EUR,No,No,
Nintendo 64,Extreme-G,PAL,NUS-NEGP-EUR,No,No,
Nintendo 64,F-Zero X,PAL,NUS-NFZP-EUR,No,No,
Nintendo 64,Forsaken,PAL,NUS-NFOP-UKV,Yes,Yes,Box and manual has Product code: NUS-NFOP-SCN
Nintendo 64,Goldeneye: 007,PAL,NUS-NGEP-EUR,Yes,Yes,Player's Choice release. Manual has Product code: NUS-P-NGEP-NUK4-1. Box has both NUS-P-NGEP-NUKV and NUS-P-NGEE-NUKV.
Nintendo 64,Hybrid Heaven,PAL,NUS-NHVP-EUR,No,No,
Nintendo 64,Jet Force Gemini,PAL,NUS-NJFP-EUR,No,No,
Nintendo 64,Killer Instinct Gold,PAL,NUS-NKIP-EUR,No,Yes,Manual has Product code NUS-P-NKIP-NUK4
Nintendo 64,Lylat Wars,PAL,NUS-NFXP-EUR,No,No,
Nintendo 64,Magical Tetris Challenge,PAL,NUS-NMTP-EUR,No,No,
Nintendo 64,Mischief Makers,PAL,NUS-NTMP-EUR,No,No,
Nintendo 64,Perfect Dark,PAL,NUS-NPDP-EUR,No,No,
Nintendo 64,Rayman 2: The Great Escape,PAL,,No,No,
Nintendo 64,Shadow Man,PAL,NUS-NSPD-EUR,No,Yes,Manual has Product code NUS-NSDP-SCN and MAN64141.06-SCN. The cartridge also says CRT64141.00-EUR.
Nintendo 64,Super Mario 64,PAL,NUS-NSMP-EUR,No,No,
Nintendo 64,Super Smash Bros.,PAL,NUS-NALP-EUR,Yes,Yes,Box and manual has Product code: NUS-P-NALP-NEU-6
Nintendo 64,Tetrisphere,PAL,NUS-NTPP-EUR,No,No,
Nintendo 64,Turok,PAL,NUS-NTUP-EUR,No,No,
Nintendo 64,WWF No Mercy,PAL,NUS-NW4P-EUR-1,No,No,
Nintendo 64,Wave Race 64,PAL,NUS-NWRP-EUR,No,No,
Nintendo 64,World Cup 98,PAL,NUS-N8WP-UKV,No,No,
Nintendo 64,Yoshi's Story,PAL,NUS-NYSP-EUR,No,No,
Nintendo DS,"Legend of Zelda, the: Phantom Hourglass",PAL,NTR-AZEP-EUR,Yes,Yes,Box and manual has Product code: NTR-AZEP-SWD
Nintendo DS,"Legend of Zelda, the: Spirit Tracks",PAL,NTR-BKIP-EUR,Yes,Yes,Factory sealed. Box and probably manual has Product code: NTR-BKIP-SWD
Nintendo DS,Advance Wars: Dark Conflict,PAL,NTR-YW2P-EUR,Yes,Yes,Box and manual has Product code: NTR-YW2P-UKV
Nintendo DS,Advance Wars: Dual Strike,PAL,NTR-AWRP-EUR,Yes,Yes,Box and manual has Product code: NTR-AWRP-UKV
Nintendo DS,Animal Crossing: Wild World,PAL,NTR-ADMP-EUR,Yes,Yes,Box and manual has Product code: NTR-ADMP-UKV
Nintendo DS,Chrono Trigger,PAL,NTR-YQUP-EUR,Yes,Yes,Box and manual has Product code: NTR-YQUP-UKV
Nintendo DS,Cooking Guide: Can't Decide What To Eat?,PAL,NTR-CNVP-EUR,Yes,Yes,Box and manual has Product code: NTR-CNVP-UKV
Nintendo DS,Dr. Kawashima's Brain Training,PAL,NTR-ANDP-EUR,Yes,Yes,"Box has Product code: NTR-ANDP-UKV, Manual: NTR-ANDP-SWD"
Nintendo DS,Dragon Quest IX: Sentinels of the Starry Skies,PAL,NTR-YDQP-EUR,Yes,Yes,Factory Sealed. Box has Product code: NTR-YDQP-UKV-1
Nintendo DS,Dragon Quest VI: Realms of Revelation,PAL,NTR-YVIP-EUR,Yes,Yes,Box and manual has Product code: NTR-YDQP-SWD
Nintendo DS,Drawn to Life,PAL,NTR-YDWP-EUR,Yes,Yes,Box and manual has Product code: NTR-YDWP-UKV
Nintendo DS,Final Fantasy III,PAL,NTR-AFFP-EUR,Yes,Yes,Box and manual has Product code: NTR-AFFP-UKV
Nintendo DS,Final Fantasy Tactics Advance 2: Grimore of the rift,PAL,NTR-A6FP-EUR,Yes,Yes,Box and manual has Product code: NTR-A6FP-UKV
Nintendo DS,Freshly Picked Tingle's Rosy Rupeeland,PAL,NTR-ACHP-EUR,Yes,Yes,Factory Sealed. Box has Product code: NTR-ACHP-UKV
Nintendo DS,Giana Sisters DS,PAL,NTR-CYYP-EUR,Yes,Yes,Box has Product code: NTR-CYYP-SCN. Manual has Product code: NTR-CYYP-UKV
Nintendo DS,Grand Theft Auto: Chinatown Wars,PAL,NTR-YGXP-EUR,Yes,Yes,Box has Product code: NTR-YGXP-UXP. Manual has Product code: NTR-YGXP-UKV
Nintendo DS,Magical Starsign,PAL,NTR-AVCP-EUR,Yes,Yes,Factory Sealed. Box has Product code: NTR-AVCP-UKV
Nintendo DS,Mario & Luigi: Partners in Time,PAL,NTR-ARMP-EUR,Yes,Yes,Box has Product code: NTR-ARMP-FHUG. Manual has Product code: NTR-ARMP-UK4
Nintendo DS,Mario Kart DS,PAL,NTR-AMCP-EUR,Yes,Yes,Box has Product code: NTR-AMCP-UKV. Manual has Product code: NTR-AMCP-SWD. The box says “Not to be sold seperately”.
Nintendo DS,New Super Mario Bros.,PAL,NTR-A2DP-EUR,Yes,Yes,Box has Product code: NTR-A2DP-UKV. Manual has Product code: NTR-A2DP-UK4.
Nintendo DS,Nintendo DS Browser: For Nintendo DS,PAL,NTR-UBRP-EUR,Yes,Yes,Box and manual has Product code: NTR-UBRP-UKV. The one with the large memory expansion pak for DS Phat.
Nintendo DS,Nintendogs: Dachshund & Friends,PAL,NTR-ADGP-EUR,Yes,Yes,Box has Product code: NTR-ADGP-FHUG. Manual has Product code NTR-ADGP-UK4. The box says “Not to be sold seperately”.
Nintendo DS,Pokémon Diamond,PAL,NTR-ADAP-EUR,Yes,Yes,Box and manual has Product code: NTR-ADAP-SWD
Nintendo DS,Professor Layton and Pandora's Box,PAL,NTR-YLTP-EUR,Yes,Yes,Box and manual has Product code NTR-YLTP-SWD
Nintendo DS,Scribblenauts,PAL,NTR-BSLX-EUR,Yes,Yes,Factory Sealed. Box has Product code: NTR-BSLX-SCN.
Nintendo DS,Sonic Rush,PAL,NTR-ASCP-EUR,Yes,Yes,Box and manual has Product code: NTR-ASCP-EUR
Nintendo DS,Super Mario 64 DS,PAL,NTR-ASMP-EUR,Yes,Yes,Box has Product code: NTR-ASMP-UKV. Manual has Product code: NTR-ASMP-SCN
Nintendo DS,Super Scribblenauts,PAL,NTR-BH2X-EUR,Yes,Yes,Factory Sealed. Box has Product code: NTR-BH2X-SCN
Nintendo DS,Tetris DS,PAL,NTR-ATRP-EUR,Yes,Yes,Box and manual has Product code: NTR-ATRP-UKV
Nintendo DS,Ultimate Mortal Kombat 3,PAL,NTR-YUTP-EUR,Yes,Yes,Box and manual has Product code: NTR-YUTP-EUR
Nintendo DS,WarioWare: Touched,PAL,NTR-AZWP-EUR,Yes,Yes,Box has Product code: NTR-AZWP-FHUG. Manual has Product code: NTR-AZWP-UK4
Nintendo DS,Zoo Tycoon 2 DS,PAL,NTR-YZTP-EUR,Yes,Yes,Box and manual has Product code: NTR-YZTP-SCN
Philips CD-I,"7th Guest, the",PAL,811 0040,Yes,Yes,"Scratched game disc, doesn't work."
Philips CD-I,Alien Gate,PAL,810 0049,Yes,Yes,
Philips CD-I,Chaos Control,PAL,810 0020,Yes,Yes,
Philips CD-I,Dimo's Quest,PAL,810 0166,Yes,Yes,
Philips CD-I,Escape From Cybercity,PAL,310 690 071-2,No,No,"Disc says For Demonstration Only, Not For Resale. So I guess it's a demo."
Philips CD-I,Link: The Faces of Evil,PAL,810 0080,No,No,"Disc is a bit scratched so the map screen music eventually starts stuttering, but otherwise the game works fine."
Philips CD-I,Litil Devil,PAL,810 0169,Yes,No,
Philips CD-I,Lost Eden,PAL,810 0292,Yes,Yes,
Philips CD-I,Mega Maze,PAL,810 0156,Yes,Yes,
Philips CD-I,Mutant Rampage: Bodyslam,PAL,810 0179,Yes,Yes,
Philips CD-I,Tetris,PAL,,Yes,Yes,
Playstation 2,ICO,PAL,SCES-50760#,Yes,Yes,"Scandinavian release, signed by director Fumito Ueda"
Playstation,Chrono Cross,NTSC (NA),D1: SLUS-01041 D2: SLUS-01080GH,Yes,Yes,The jewel case is the original release while the manual is the Greatest Hits release. Disc 1 is original release and Disc 2 is GH.
Pokémon Mini,Pokémon Tetris,PAL,MIN-MSTP-EUR,Yes,Yes,
SNES/SFC,"Addams Family, the",NTSC (NA),SNS-AF-USA,Yes,Yes,
SNES/SFC,"King of Dragons, the",NTSC (JP),SHVC-EI,No,No,
SNES/SFC,"Legend of Zelda, the: A Link to the Past",PAL,SNSP-ZL-UKV,Yes,Yes,A small piece of the map has been torn of from the lower left corner.
SNES/SFC,"Magical Quest Starring Mickey Mouse, the",PAL,SNSP-MI-SCN,Yes,No,One of the worst-condition boxes in my collection.
SNES/SFC,Battle Dodgeball,NTSC (JP),SHVC-BD,No,No,
SNES/SFC,Battletoads in Battlemaniacs,PAL,SNSP-NX-UKV,No,No,
SNES/SFC,Bubsy,PAL,SNSP-YN-SCN,No,No,
SNES/SFC,Contra Spirits,NTSC (JP),SHVC-CS,No,No,Aka Contra III: The Alien Wars
SNES/SFC,Darius Twin,PAL,SNSP-DT-SCN,No,No,
SNES/SFC,Desert Strike,NTSC (NA),SNS-RG-USA,No,No,
SNES/SFC,DoReMi Fantasy: Milon no Doki Doki Daibouken,NTSC (JP),SHVC-AM4J-JPN,No,No,
SNES/SFC,Donkey Kong Country 2,PAL,SNSP-ADNP-SCN,Yes,Yes,
SNES/SFC,Donkey Kong Country 3,PAL,SNSP-A3CP-NUKV,Yes,Yes,Nintendo Classics re-release
SNES/SFC,Donkey Kong Country,PAL,SNSP-8X-SCN,No,No,Got this bundled with my first SNES.
SNES/SFC,Earthbound,NTSC (NA),SNS-MB-USA,Yes,No,"Regular size box that says “For display only”.The box's Product code is SNS-OO-USA, or maybe that's SNS-00-USA."
SNES/SFC,F-Zero,PAL,SNSP-FZ-UKV,Yes,Yes,
SNES/SFC,Final Fantasy III,NTSC (NA),SNS-F6-USA,Yes,Yes,Includes the map
SNES/SFC,Firepower 2000,NTSC (NA),SNS-FW-USA,No,No,aka Super SWIV
SNES/SFC,Front Mission: Gun Hazard,NTSC (JP),SHVC-AZGJ-JPN,Yes,Yes,
SNES/SFC,Garou Densetsu Special,NTSC (JP),SHVC-3R,No,No,aka Fatal Fury Special
SNES/SFC,Goof Troop,PAL,SNSP-G6-UKV,No,No,
SNES/SFC,Gradius III,NTSC (JP),SHVC-G3-JPN,Yes,Yes,
SNES/SFC,Home Alone,PAL,SNSP-HA-UKV,No,No,
SNES/SFC,Kid Klown in Crazy Chaze,PAL,SNSP-ZI-UKV,No,No,
SNES/SFC,Kirby Bowl,NTSC (JP),SHVC-CG,No,No,aka Kirby's Dream Course
SNES/SFC,Kirby's Dream Land 3,NTSC (JP),SHVC-AFJJ-JPN,No,No,aka Hoshi no Kirby 3
SNES/SFC,Magic Sword,NTSC (JP),SHVC-MD,No,No,
SNES/SFC,Magical Tarurūto Kun: Magic Adventure,NTSC (JP),SHVC-TL,No,No,
SNES/SFC,Mario & Wario,NTSC (JP),SHVC-WE,Yes,Yes,Mint condition
SNES/SFC,Mario Paint,NTSC (JP),SHVC-MP,No,No,
SNES/SFC,Mario's Super Picross,NTSC (JP),SHVC-ACXJ-JPN,No,No,
SNES/SFC,Mega Man X,PAL,SNSP-RX-SCN,No,No,
SNES/SFC,Mickey and Minnie: Magical Adventure 2,NTSC (JP),SHVC-4C,No,No,Magical Quest 2
SNES/SFC,Mortal Kombat II,PAL,SNSP-28-EUR,Yes,Yes,
SNES/SFC,Mortal Kombat,NTSC (NA),SNS-KX-USA,No,No,An actual original cartridge of the above
SNES/SFC,Mortal Kombat,PAL,???,Yes,Yes,"Probably a pirate copy. Cart has a Japanese back label but works in PAL machines, Box is SFC sized but without the Super Famicom logo on it, the manual claims it's USA regioned.."
SNES/SFC,Mystic Quest Legend,PAL,SNSP-MQ-UKV,Yes,Yes,"Includes the map. The box is pretty ugly with a huge badly torn off sticker on the front, tainting it forever."
SNES/SFC,NBA All-Star Challenge,NTSC (NA),SNS-NB-USA,No,No,
SNES/SFC,NHL 95,PAL,SNSP-ANHP-SCN,No,No,
SNES/SFC,Panel de Pon,NTSC (JP),SHVC-AYLJ-JPN,Yes,Yes,
SNES/SFC,Parodius Da!,NTSC (JP),SHVC-PD,Yes,Yes,
SNES/SFC,Pilotwings,PAL,SNSP-PW-SCN,No,No,
SNES/SFC,Pitfall: The Mayan Adventure,NTSC (NA),SNS-APAE-USA,No,No,"""Assembled in Mexico"""
SNES/SFC,Plok,PAL,SNSP-P4-UKV,No,No,
SNES/SFC,Prince of Persia,NTSC (NA),SNS-PR-USA,Yes,Yes,
SNES/SFC,Puzzle Bobble,NTSC (JP),SHVC-AYKJ-JPN,Yes,Yes,
SNES/SFC,Race Drivin',NTSC (NA),SNS-RV-USA,No,No,
SNES/SFC,Rockman X2,NTSC (JP),SHVC-ARXJ-JPN,No,No,
SNES/SFC,Rockman X3,NTSC (JP),SHVC-AR3J-JPN,No,No,
SNES/SFC,Ryuuko no Ken,NTSC (JP),SHVC-RW,No,No,Aka Art of Fighting. Is possibly a pirate cartridge.
SNES/SFC,Sailor Moon R,NTSC (JP),SHVC-2Q,Yes,Yes,
SNES/SFC,Sailor Moon,NTSC (JP),SHVC-AE,No,No,
SNES/SFC,Sanrio World: Smash Ball!,NTSC (JP),SHVC-S7,Yes,Yes,
SNES/SFC,Sensible Soccer,PAL,SNSP-8S-NOE,Yes,Yes,
SNES/SFC,Sim City,PAL,SNSP-SC-SCN,No,No,
SNES/SFC,Smart Ball,NTSC (NA),SNS-JB-USA,No,No,
SNES/SFC,Street Fighter II Turbo,NTSC (JP),SHVC-TI,No,No,
SNES/SFC,Street Fighter II,PAL,SNSP-S2-SCN,Yes,No,
SNES/SFC,Street Fighter Zero 2,NTSC (JP),SHVC-AUZJ-JPN,No,No,aka Street Fighter Alpha 2
SNES/SFC,Street Racer,PAL,SNSP-ASRP-EUR,No,No,
SNES/SFC,Stunt Race FX,PAL,SNSP-CQ-ESP,Yes,Yes,Box and manual is SNSP-CQ-NOE
SNES/SFC,Super Adventure Island,PAL,SNSP-H2-SCN,No,No,
SNES/SFC,Super Battletank,PAL,SNSP-SB-SCN,No,No,
SNES/SFC,Super Bomberman 2,NTSC (JP),SHVC-M4,No,No,
SNES/SFC,Super Bomberman 3,NTSC (JP),SHVC-AS6J-JPN,Yes,Yes,Box has product code: SHVC-P-AS6J(JPN)
SNES/SFC,Super Bombliss,NTSC (JP),SHVC-ABOJ-JPN,Yes,Yes,
SNES/SFC,Super Castlevania IV,PAL,SNSP-AD-SCN,No,No,
SNES/SFC,Super Ghouls 'n Ghosts,NTSC (NA),SNS-CM-USA,No,No,
SNES/SFC,Super Mario All-Stars,PAL,SNSP-4M-SCN,No,No,
SNES/SFC,Super Mario Kart,PAL,SNSP-MK-EUR,No,No,
SNES/SFC,Super Mario World 2: Yoshi's Island,PAL,SNSP-YI-SCN,No,No,
SNES/SFC,Super Mario World,PAL,SNSP-MW-SCN,No,No,
SNES/SFC,Super Metroid,PAL,SNSP-RI-NOE,No,No,German/French subtitles
SNES/SFC,Super Nazo Puyo,NTSC (JP),SHVC-ANQJ-JPN,Yes,Yes,Box has product code: SHVC-P-ANQJ(JPN)
SNES/SFC,Super Puyo Puyo 2: Remix,NTSC (JP),SHVC-A7PJ-JPN,Yes,Yes,Box and manual is for regular Super Puyo Puyo 2
SNES/SFC,Super Puyo Puyo,NTSC (JP),SHVC-PQ,No,No,
SNES/SFC,Super Scope 6,PAL,,Yes,No,
SNES/SFC,Super Soccer,PAL,SNSP-FS-NOE,No,No,
SNES/SFC,Super Street Fighter II,NTSC (JP),SHVC-XW,No,No,
SNES/SFC,Super Tennis,PAL,SNSP-ST-NOE,Yes,Yes,
SNES/SFC,Super Tetris 2 + Bombliss,NTSC (JP),SHVC-5T,Yes,Yes,"Limited, aka Genteiban, release with black boxart"
SNES/SFC,Super Tetris 3,NTSC (JP),SHVC-AT3J-JPN,Yes,Yes,
SNES/SFC,T2 Terminator 2: Judgement Day,NTSC (NA),SNS-TP-USA,No,No,
SNES/SFC,Teenage Mutant Ninja Turtles: Turtles in Time,NTSC (JP),SHVC-TM,No,No,
SNES/SFC,Tetris Battle Gaiden,NTSC (JP),SHVC-4G,No,No,
SNES/SFC,The Simpsons: Bart's Nightmare,PAL,SNSP-BN-SCN,No,No,
SNES/SFC,Tintin in Tibet,PAL,SNSP-AT6P-NOE,No,No,"Says ""Tim in Tibet"" on the label but you can set the language to English in the actual game."
SNES/SFC,Top Gear,PAL,SNSP-TR-SCN,No,No,
SNES/SFC,Umihara Kawase,NTSC (JP),SHVC-ATAJ-JPN,Yes,Yes,Some sticker residue on the box but otherwise very good.
Virtual Boy,V-Tetris,NTSC (JP),VUE-VTRJ-JPN,Yes,Yes,
Wii,"Legend of Zelda, the: Skyward Sword",PAL,RVL-SOUP-EUR,Yes,Yes,Factory Sealed. Box has Product code: RVL-SOUP-SWD
Wii,"Legend of Zelda, the: Twilight Princess",PAL,RVL-RZDP-EUR,Yes,Yes,Box and manual has Product code: RVL-RZDP-SWD
Wii,A Boy And His Blob,PAL,RVL-SBLP-UKV-BO,Yes,Yes,Box and manual has Product code: RVL-SBLP-UKV
Wii,Disaster: Day of Crisis,PAL,RVL-RDZP-EUR,Yes,Yes,Box and manual has Product code: RVL-RDZP-SWD
Wii,Endless Ocean 2: Adventures of the Deep,PAL,,Yes,Yes,
Wii,Endless Ocean,PAL,,Yes,Yes,
Wii,Excite Truck,PAL,RVL-REXP-EUR,Yes,Yes,Box and manual has Product code: RVL-REXP-SWD
Wii,Geometry Wars: Galaxies,PAL,RVL-RGLP-EUR,Yes,Yes,Box and manual has Product code: RVL-RGLP-UKV
Wii,Link's Crossbow Training,PAL,RVL-RZPP-EUR,Yes,Yes,Box and manual has Product code: RVL-RZPP-SWD
Wii,MadWorld,PAL,RVL-RZZP-EUR,Yes,Yes,Factory Sealed. Box has Product code: RVL-RZZP-UKV
Wii,Manhunt 2,PAL,RVL-RHTP-EUR,Yes,Yes,Box and manual has Product code: RVL-RHTP-UKV
Wii,Metroid Prime 3: Corruption,PAL,RVL-RM3P-EUR,Yes,Yes,Box and manual has Product code: RVL-RM3P-SWD
Wii,Metroid Prime Trilogy,PAL,RVL-R3MP-EUR,Yes,Yes,Factory Sealed. Box has Product code: RVL-R3MP-UKV
Wii,No More Heroes 2: Desperate Struggle,PAL,RVL-RUYP-EUR,Yes,Yes,Box and manual has Product code: RVL-RUYP-UKV
Wii,No More Heroes,PAL,RVL-RNHP-EUR,Yes,Yes,Box and manual has Product code: RVL-RNHP-UKV
Wii,Rayman Raving Rabbids,PAL,RVL-RRBP-EUR,Yes,Yes,Box has Product code: RVL-RRBP-SCN. Manual has Product code RVL-RRBP-UKV.
Wii,Red Steel 2,PAL,RVL-RD2P-UKV-BO,Yes,Yes,Box and manual has Product code: RVL-RD2P-UKV
Wii,Red Steel,PAL,RVL-REDP-EUR,Yes,Yes,Box has Product code: RVL-REDP-SCN. Manual has Product code: RVL-REDP-UKV.
Wii,Resident Evil: Umbrella Chronicles,PAL,RVL-RBUP-EUR,Yes,Yes,Box and manual has Product code: RVL-RBUP-SWD
Wii,Sin & Punishment: Successor of the Skies,PAL,RVL-R2VP-EUR,Yes,Yes,Factory Sealed. Box has Product code: RVL-R2VP-UKV
Wii,Super Mario All-Stars: 25th Anniversary Edition,PAL,RVL-SVMP-EUR,Yes,Yes,Box has Product code: RVL-SVMP-UKV
Wii,Super Mario Galaxy,PAL,RVL-RMGP-EUR,Yes,Yes,Box and manual has Product code: RVL-RMGP-SWD
Wii,Super Monkey Ball: Step & Roll,PAL,RVL-SMBP-EUR-BO,Yes,Yes,Box and manual has Product code: RVL-SMBP-UKV
Wii,Super Smash Bros. Brawl,PAL,RVL-RSBP-EUR,Yes,Yes,Box and manual has Product code: RVL-RSBP-SWD
Wii,TrackMania,PAL,RVL-R6RP-EUR-BO,Yes,Yes,Box and manual has Product code: RVL-R6RP-UKV
Wii,Wario Land: The Shake Dimension,PAL,,Yes,Yes,
Wii,WarioWare: Smooth Moves,PAL,RVL-RODP-EUR,Yes,Yes,Box and manual has Product code: RVL-RODP-SWD
Wii,Wii Sports,PAL,RVL-RSPP-EUR,Yes,Yes,Box and manual has Product code: RVL-RSPP-SWD
Wii,Xenoblade Chronicles,PAL,RVL-SX4P-EUR,Yes,Yes,Factory Sealed. Box has Product code: RVL-SX4P-UKV
Wii,Ōkami,PAL,RVL-ROWP-EUR,Yes,Yes,Factory Sealed. Box has Product code: RVL-ROWP-UKV
